Number,mean=1 stdd=10,mean=1 stdd=1.5,mean=1 stdd=0.125
0.6000000000000001,0.06573584128675822,0.2669160356666673,1.0084922778964802E-31
0.65,0.06075071611855677,0.259618853829503,1.7422831930352059E-28
0.7000000000000001,0.05646967465015317,0.2523991376753711,1.2016124521012625E-25
0.75,0.05275312960687862,0.2453195045860893,3.848326540310674E-23
0.8,0.04949614577253411,0.23841978775330733,6.4454135785040945E-21
0.8500000000000001,0.04661830760194003,0.231724296271948,6.207326815392882E-19
0.9,0.044056947528449,0.22524668565577544,3.711775296044954E-17
0.9500000000000001,0.0417625021521876,0.218993275307105,1.4675726704591802E-15
1.0,0.03969525474770118,0.2129653370149015,4.041816866829514E-14
1.05,0.03782300395860141,0.20716069016472455,8.098786180923957E-13
1.1,0.03611936523546015,0.20157482293018406,1.2248169289867833E-11
1.1500000000000001,0.03456251325633797,0.19620168518851733,1.4423698512362224E-10
1.2000000000000002,0.03313423724992141,0.19103425154583506,1.3584035108832005E-9
1.25,0.031819221973926635,0.18606492181523537,1.0469174259000206E-8
1.3,0.030604493847102968,0.18128580561779117,6.73563562130998E-8
1.35,0.029478989593393574,0.1766889238099193,3.6809816108551996E-7
1.4000000000000001,0.02843321689534157,0.17226634988159908,1.7348663193001582E-6
1.4500000000000002,0.027458984937703705,0.16801030784970883,7.1464403149586924E-6
1.5,0.026549188599235343,0.16391323853636272,2.6035288106404697E-5
1.55,0.02569763422698135,0.15996784284603058,8.476798291733967E-5
1.6,0.024898897933008052,0.15616710831865613,2.489701577248116E-4
1.6500000000000001,0.024148209542062964,0.15250432355602375,6.651604285120291E-4
1.7000000000000002,0.023441356929750225,0.148973083901912,0.0016285909578972173
1.75,0.022774606688957526,0.14556729086956174,0.003678916810861314
1.8,0.022144637961838895,0.14228114715953055,0.007714000667481439
1.85,0.02154848695610737,0.13910914863152962,0.015096239797400251
1.9000000000000001,0.02098350018495522,0.1360460742387949,0.027710404547225863
1.9500000000000002,0.020447294870730597,0.13308697466961777,0.04792486594430521
2.0,0.019937725263410026,0.13022716024384517,0.07841648846923097
2.0500000000000003,0.01945285386777991,0.12746218846501928,0.12184603746504567
2.1,0.01899092676423077,0.12478785151864334,0.1804111212178678
2.15,0.01855035235920618,0.1222001639244685,0.25534607631251316
2.2,0.01812968302166679,0.11969535048879705,0.34646842841850395
2.25,0.01772759915825748,0.11726983465645244,0.4518778096987135
2.3000000000000003,0.017342895357403493,0.11492022732745219,0.5678910609226739
2.35,0.016974468295296533,0.11264331617766915,0.6892515272200278
2.4000000000000004,0.016621306147738747,0.1104360555037199,0.8095936199972563
2.45,0.016282479293479122,0.10829555659835621,0.922090990074178
2.5,0.015957132128865247,0.10621907865251487,1.0201814935858582
2.5500000000000003,0.01564447584180666,0.10420402017297879,1.0982519391629109
2.6,0.015343782016356937,0.10224791089959744,1.15218040859339
2.6500000000000004,0.01505437695858608,0.1003484042026712,1.1796674622778127
2.7,0.014775636650560859,0.09850326993900706,1.180329930252011
2.75,0.014506982252762366,0.0967103877439841,1.155572046755485
2.8000000000000003,0.014247876086616491,0.09496774073648855,1.108280455880011
2.85,0.013997818038372863,0.09327340961360182,1.0424077933606857
2.9000000000000004,0.013756342333648499,0.09162556711231334,0.9625136106890259
2.95,0.013523014638803987,0.09002247281617326,0.8733237794138753
3.0,0.013297429451146507,0.08846246828561813,0.7793542775603532
3.0500000000000003,0.013079207744923566,0.0869439724916346,0.6846268520794845
3.1,0.012867994844321233,0.08546547753342326,0.592486269575166
