Name,MaxConcurrentRequests,SpeedLimit,MaxBW,PowerRate,IdlePowerRate
RUNNING,100,300,100000,1,0.7
RUNNING_L1,50,100,100000,0.7,0.7
SLEEP,0,0,0,1,0.05
